,importance,stddev,p_value,n,p99_high,p99_low
dns_an_52,0.0,0.0,0.5,5,0.0,0.0
dns_an_53,0.0,0.0,0.5,5,0.0,0.0
dns_an_54,0.0,0.0,0.5,5,0.0,0.0
dns_an_55,0.0,0.0,0.5,5,0.0,0.0
dns_an_56,0.0,0.0,0.5,5,0.0,0.0
dns_an_57,0.0,0.0,0.5,5,0.0,0.0
dns_an_59,0.0,0.0,0.5,5,0.0,0.0
dns_an_98,0.0,0.0,0.5,5,0.0,0.0
dns_an_104,0.0,0.0,0.5,5,0.0,0.0
dns_an_60,0.0,0.0,0.5,5,0.0,0.0
dns_an_103,0.0,0.0,0.5,5,0.0,0.0
dns_an_61,0.0,0.0,0.5,5,0.0,0.0
dns_an_102,0.0,0.0,0.5,5,0.0,0.0
dns_an_62,0.0,0.0,0.5,5,0.0,0.0
dns_an_63,0.0,0.0,0.5,5,0.0,0.0
dns_an_64,0.0,0.0,0.5,5,0.0,0.0
dns_an_65,0.0,0.0,0.5,5,0.0,0.0
dns_an_101,0.0,0.0,0.5,5,0.0,0.0
dns_an_100,0.0,0.0,0.5,5,0.0,0.0
dns_an_99,0.0,0.0,0.5,5,0.0,0.0
dns_an_132,0.0,0.0,0.5,5,0.0,0.0
ip_src_24,0.0,0.0,0.5,5,0.0,0.0
dns_an_90,0.0,0.0,0.5,5,0.0,0.0
dns_an_146,0.0,0.0,0.5,5,0.0,0.0
udp_sport_15,0.0,0.0,0.5,5,0.0,0.0
dns_an_153,0.0,0.0,0.5,5,0.0,0.0
dns_qd_709,0.0,0.0,0.5,5,0.0,0.0
ip_src_28,0.0,0.0,0.5,5,0.0,0.0
dns_qd_680,0.0,0.0,0.5,5,0.0,0.0
dns_an_152,0.0,0.0,0.5,5,0.0,0.0
dns_qd_712,0.0,0.00014142135623729392,0.5,5,0.00029118852714345384,-0.00029118852714345384
ip_len_8,0.0,0.0,0.5,5,0.0,0.0
dns_an_151,0.0,0.0,0.5,5,0.0,0.0
dns_an_150,0.0,0.0,0.5,5,0.0,0.0
dns_qd_678,0.0,0.0,0.5,5,0.0,0.0
dns_an_149,0.0,0.0,0.5,5,0.0,0.0
udp_chksum_3,0.0,0.0,0.5,5,0.0,0.0
dns_an_148,0.0,0.0,0.5,5,0.0,0.0
dns_an_147,0.0,0.0,0.5,5,0.0,0.0
dns_qd_676,0.0,0.0,0.5,5,0.0,0.0
dns_an_163,0.0,0.0,0.5,5,0.0,0.0
dns_qd_674,0.0,0.0,0.5,5,0.0,0.0
dns_an_158,0.0,0.0,0.5,5,0.0,0.0
dns_an_164,0.0,0.0,0.5,5,0.0,0.0
dns_qd_671,0.0,0.00028284271247458785,0.5,5,0.0005823770542869077,-0.0005823770542869077
udp_len_8,0.0,0.0,0.5,5,0.0,0.0
udp_dport_2,0.0,0.0,0.5,5,0.0,0.0
dns_qd_706,0.0,0.0,0.5,5,0.0,0.0
dns_an_156,0.0,0.0,0.5,5,0.0,0.0
udp_dport_11,0.0,0.0,0.5,5,0.0,0.0
udp_dport_10,0.0,0.0,0.5,5,0.0,0.0
dns_an_159,0.0,0.0,0.5,5,0.0,0.0
dns_qd_691,0.0,0.0,0.5,5,0.0,0.0
dns_an_160,0.0,0.0,0.5,5,0.0,0.0
dns_qd_692,0.0,0.0,0.5,5,0.0,0.0
dns_qd_693,0.0,0.0,0.5,5,0.0,0.0
dns_an_157,0.0,0.0,0.5,5,0.0,0.0
dns_qd_684,0.0,0.0,0.5,5,0.0,0.0
udp_dport_15,0.0,0.0,0.5,5,0.0,0.0
dns_an_162,0.0,0.0,0.5,5,0.0,0.0
dns_an_155,0.0,0.0,0.5,5,0.0,0.0
udp_dport_8,0.0,0.0,0.5,5,0.0,0.0
udp_dport_7,0.0,0.0,0.5,5,0.0,0.0
udp_dport_4,0.0,0.0,0.5,5,0.0,0.0
dns_an_161,0.0,0.0,0.5,5,0.0,0.0
dns_qd_700,0.0,0.0,0.5,5,0.0,0.0
udp_dport_3,0.0,0.0,0.5,5,0.0,0.0
dns_an_154,0.0,0.0,0.5,5,0.0,0.0
dns_qd_703,0.0,0.0,0.5,5,0.0,0.0
dns_qd_717,0.0,0.0,0.5,5,0.0,0.0
udp_dport_13,0.0,0.0,0.5,5,0.0,0.0
dns_qd_719,0.0,0.0,0.5,5,0.0,0.0
dns_qd_724,0.0,0.0,0.5,5,0.0,0.0
dns_an_167,0.0,0.0,0.5,5,0.0,0.0
dns_qd_664,0.0,0.0,0.5,5,0.0,0.0
dns_an_141,0.0,0.0,0.5,5,0.0,0.0
udp_chksum_5,0.0,0.0,0.5,5,0.0,0.0
